"Statistic Label","Year","County","UNIT","VALUE"
"Persons Killed","2001","Co. Carlow","Number","8"
"Persons Killed","2001","Co. Dublin","Number","53"
"Persons Killed","2001","Co. Kildare","Number","31"
"Persons Killed","2001","Co. Kilkenny","Number","11"
"Persons Killed","2001","Co. Laois","Number","13"
"Persons Killed","2001","Co. Longford","Number","3"
"Persons Killed","2001","Co. Louth","Number","15"
"Persons Killed","2001","Co. Meath","Number","26"
"Persons Killed","2001","Co. Offaly","Number","9"
"Persons Killed","2001","Co. Westmeath","Number","7"
"Persons Killed","2001","Co. Wexford","Number","16"
"Persons Killed","2001","Co. Wicklow","Number","13"
"Persons Killed","2001","Co. Clare","Number","9"
"Persons Killed","2001","Co. Cork","Number","52"
"Persons Killed","2001","Co. Kerry","Number","14"
"Persons Killed","2001","Co. Limerick","Number","22"
"Persons Killed","2001","Co. Tipperary","Number","16"
"Persons Killed","2001","Co. Waterford","Number","13"
"Persons Killed","2001","Co. Galway","Number","22"
"Persons Killed","2001","Co. Leitrim","Number","5"
"Persons Killed","2001","Co. Mayo","Number","8"
"Persons Killed","2001","Co. Roscommon","Number","6"
"Persons Killed","2001","Co. Sligo","Number","6"
"Persons Killed","2001","Co. Cavan","Number","5"
"Persons Killed","2001","Co. Donegal","Number","14"
"Persons Killed","2001","Co. Monaghan","Number","14"
"Persons Killed","2002","Co. Carlow","Number","11"
"Persons Killed","2002","Co. Dublin","Number","49"
"Persons Killed","2002","Co. Kildare","Number","19"
"Persons Killed","2002","Co. Kilkenny","Number","9"
"Persons Killed","2002","Co. Laois","Number","5"
"Persons Killed","2002","Co. Longford","Number","8"
"Persons Killed","2002","Co. Louth","Number","19"
"Persons Killed","2002","Co. Meath","Number","18"
"Persons Killed","2002","Co. Offaly","Number","6"
"Persons Killed","2002","Co. Westmeath","Number","10"
"Persons Killed","2002","Co. Wexford","Number","7"
"Persons Killed","2002","Co. Wicklow","Number","11"
"Persons Killed","2002","Co. Clare","Number","16"
"Persons Killed","2002","Co. Cork","Number","35"
"Persons Killed","2002","Co. Kerry","Number","8"
"Persons Killed","2002","Co. Limerick","Number","21"
"Persons Killed","2002","Co. Tipperary","Number","15"
"Persons Killed","2002","Co. Waterford","Number","12"
"Persons Killed","2002","Co. Galway","Number","26"
"Persons Killed","2002","Co. Leitrim","Number","5"
"Persons Killed","2002","Co. Mayo","Number","14"
"Persons Killed","2002","Co. Roscommon","Number","5"
"Persons Killed","2002","Co. Sligo","Number","9"
"Persons Killed","2002","Co. Cavan","Number","7"
"Persons Killed","2002","Co. Donegal","Number","20"
"Persons Killed","2002","Co. Monaghan","Number","11"
"Persons Killed","2003","Co. Carlow","Number","4"
"Persons Killed","2003","Co. Dublin","Number","37"
"Persons Killed","2003","Co. Kildare","Number","17"
"Persons Killed","2003","Co. Kilkenny","Number","9"
"Persons Killed","2003","Co. Laois","Number","11"
"Persons Killed","2003","Co. Longford","Number","6"
"Persons Killed","2003","Co. Louth","Number","14"
"Persons Killed","2003","Co. Meath","Number","14"
"Persons Killed","2003","Co. Offaly","Number","7"
"Persons Killed","2003","Co. Westmeath","Number","15"
"Persons Killed","2003","Co. Wexford","Number","16"
